id,en,ru
2,Area,Территория
3,Island,Остров
4,Mountain range,Горная область
6,Protected area,Охраняемная территория
7,Water body,Водоём
9,Local name,Местное название
10,National park,Национальный парк
12,Name of the forest or field,Урочище
13,Historic Territory,Историческая территория
15,City district,Район города
21,Road,Дорога
40,Postal code,Почтовый индекс
101,Continent,Континент
102,Sea,Море
103,Ocean,Океан
104,Bay,Залив
105,Glacier,Ледник
106,Swamp,Болото
107,Peninsula,Полуостров
108,Desert,Пустыня
109,"Strait, channel",Пролив
110,Underwater formation,Подводное образование
111,Low land,Низменность
112,Valley,Долина
113,Fjord,Фьорд
114,River,Река
115,Canal,Канал
116,Stream,Ручей
117,Military area,Военный полигон
118,Administrative structure,Регион
119,Inhabited area,Населенный пункт
120,Industrial zone,Промзона
122,District,Пригород
127,Cape,Мыс
128,Archipelago,Архипелаг
201,Capital city,Столица
202,Town,Город
203,Municipality,Город
204,Village,Деревня
205,City,Город
206,Village,Деревня
210,Country,Страна
220,Attraction,Достопримечательность
230,Аddress,Адрес
250,City district,Район города
251,Quarter,Квартал
1012,Border crossing,Погранпереход
1014,Border crossing,Погранпереход
1015,Cableway,Канатная дорога
1016,International airport,Международный аэропорт
1017,Airport,Аэропорт
1018,Airport,Аэропорт
1019,Airport Terminal,Терминал аэропорта
1022,Subway station,Станция метро
1023,Helipad,Вертолетная площадка
1024,Ski lift,Горнолыжный подъемник
1030,Port,Порт
1042,Subway line,Линия метро
1043,Ski piste,Горнолыжная трасса
1045,Subway line,Линия метро
1065,Parking meter,Паркомат
1071,Tollhouse,Касса
1113,Rest area,Место для отдыха
1114,Tourist signpost,Указатель троп
1115,Bunker,Бункер
1116,Shelter,Укрытие
1117,Tourist signpost,Указатель троп
1118,Observation tower,Обзорная башня
1119,Mine,Шахта
1122,High building,Высокое здание
1127,Transmission tower,Радио башня
1130,"Drift, shaft","Штольня, шахта"
1131,Attraction,Достопримечательность
1133,Bridge,Мост
1134,Playground,Игровая площадка
1136,Tunnel,Тонель
1138,Dam,Плотина
1210,Archeological site,Археологические раскопки
1212,Castle,Замок
1216,Monastery,Монастырь
1217,Church,Церковь
1218,Cross,Крест
1224,Memorial,Памятник
1229,Chateau,"Замок, дворец"
1231,Ruin,Развалины
1233,Cabin,Хижина
1234,Park,Парк
1236,Cemetery,Кладбище
1242,Mosque,Мечеть
1246,Castle,Замок
1249,Temple,Храм/Синагога/Мечеть
1250,Attraction,Достопримечательность
1255,Planetarium,Планетарий
1256,Battlefield,Историческое поле сражения
1258,Memorial plaque,Мемориальная доска
1261,Amusement park,Парк развлечений
1271,Garden,Сад
1310,UNESCO site,объект ЮНЕСКО
1411,Mountain,Вершина
1412,Information board,Информационный стенд
1413,Protected area,Охраняемная территория
1414,Cave,Пещера
1415,Water body,Водоём
1416,"Mountain, volcano","Вершина, вулкан"
